country,city,product_name,product_category,campaign_channel,budget_spent,impressions,clicks,conversion_rate,units_sold,campaign_date
Fr@nce,Roma,GlowSerum,,TIK tOK,8996.38 €,N/A,1689,"0,2611",503245,Apr 14 2025
Espa√±a@,Roma,Hydra_Cream$,,gOoGleADS,2 186.95,202625,10476,,227,Apr 7 2025
  Italy,mAdRId ,Pure_Clean_Toner$,beauty,TikTok%,10102.22 €,-2310,11905,22.7%,0,Oct 25 2025
Brazil,New York,pUrecLEAn ToNeR,SKINCARE,google ads,2183.03,383424,16352,4.4%,784245,17/03/23
fran   ce,t0Kyo,GlowSerum,beauty,   google ads,$21421.8,,2421484,30.6%,0,17/10/2099
Brasi   l,PARIS   ,puRE_CleAn_TonER,skincare,Google   Ads,budget non communique,,12611,,beaucoup,Dec 18 2024
Fr@nce   ,neW_YoRK,Hydr   a_Cream,,tik tok!!,23917.24,-2442,8975,0.1958,beaucoup,28/12/24
spai   n,Pa   ris,Gl0wSerum,skincare,google ads#,7 434.69,,19464,0.1739,580,16/07/24
ItAlY,BErliN,GloWsErUM,electronics,Go   ogleAds,,-4786,2081170,,376762,25/02/25
Italie,SAoPaULo,gl   owserum,SKINCARE,google ads%,16364.39 €,,16243,0.11,485,18-03-2025xx
J   appan,nEW yOrk,PureCle   anToner,skincare,   tiktok,,50516,??,11.3%,612290,
GerMnY,,p.c. tONEr,SKINCARE,tIKTOk,13 161.65,-551,3859693,"0,2619",beaucoup,
S   pain,parIs,pUrEclEANToneR,,INSTAGRAM%,,23542,4676347,??,-28,Sep 14 2024
usa   ,tORONtO,PUREclEAnToneR,skincare,InsTagRaM,,,2825968,??,789599,
,Madrid,hydracream,skincare,INSTAGRAM,9 948.97,-458,??,20.5%,-21,2024-12-16
germany,sao_paulo@,HydrA_cream,skincare,tikt   ok,12 274.47,277694,17627,33.1%,-2,29/10/2099
USA,to   ronto,PureClean Toner   ,skincare,inStAgram,budget non communique,,,0.306,beaucoup,Apr 2 2025
itAly,,HydraCr3am,skincare,GoogleAds@,$3114.91,98651,,8.5%,223,Sep 13 2024
Kanada   ,S√£o PauLO,GlowSerum,,ema   il,,N/A,4291,,597060,
Germny#,toronto%,Glow_Serum%,beauty,GOOGLEaDS,21335.69,-2669,4346,7.1%,-37,
Unite   d States,Roma   ,P.C. Toner,furniture,FB,,-1083,6338,0.1481,219247,2025-03-07
Germny,Madrid,Gl0wSerum,SKINCARE,tiktok,$16338.55,162922,9214,25.1%,-23,Nov 9 2024
BRAZIL_,P@r!s,GLOW SERUM,Skincare,TikTok%,$21525.12,-4857,,"0,0629",-29,36/6/2099
N/A!!,New_York,PureClean Toner?,,Billboard,,474928,??,??,214390,05-03-2025xx
Japan,   MADRID ,HydraCream!!,beauty,e   mail,budget non communique,372674,16422,20.6%,-24,24-11-2025xx
Italie,Sao_Paulo,Gl   owSerum!!,SKINCARE,inst   a,,397828,,"0,1035",109,18/12/25
itAliE,P   aris,HydraCr3am#,Beauty ,FaCEbook,,-2733,??,0.1443,533677,2023-09-09
japan!!,r0Me,GLOW SERUM#,beauty,GoogleAds$,16496.16 €,133814,??,,-36,2024-01-21
Kana   da,Berlin,pureclean_toner,beauty,email,22408.42,N/A,,,-28,27/2/2099
Ja   pan,__Paris,hydrac   ream,skincare,insta,$22707.17,85556,5120,3.9%,757544,
CanadA,Tokyo,h   ydracream,,E-mail,19436.36 €,,??,"0,0965",beaucoup,Jul 2 2023
U.S.A,Ro   ma,PURECLEAN TONER,beauty,tik t   ok,$11951.63,,??,28.1%,beaucoup,
usa!!,madrid,   GLOW SERUM,beauty,facebook,15 731.06,,??,,866456,
UnITeD stATes,,HYDRA_CREAM,,GoogleAds,21104.91,364654,5691,,510,17/10/2099
Germny#,tokyo,Gl0w   Serum,SKINCARE,   ??,19706.95,-2821,14667,??,546,Sep 2 2024
Brasil,São Paulo,pureclean toner,SKINCARE,   ??,6364.4,391023,10750,32.9%,0,Jun 23 2023
br   azil,tokyo,GlowSerum,SKINCARE,GoogleAds,,N/A,18190,??,637941,16/2/2099
JAPAN,PARIs,PURECLEAN TONER@,furniture,E-mail@,,,13653,,-29,12-03-2023xx
,__Paris,glOWSerUm!!,skincare,google_ads,1 198.07,81013,7859,,171,
japan@,Toronto,HydraCr3am#,Beauty ,??,13498.61,248484,1723832,16.7%,beaucoup,2/11/2099
frANsE,MADRID_,Glow_Serum$,electronics,INSTAGRAM,$12228.67,,??,"0,2738",3,Sep 28 2023
BR   AZIL ,s√£O paulO,glowserum$,,EmAIl,budget non communique,67860,11982,0.0686,-49,16/03/23
BRaZIl,New_York,HydraCr3am,electronics,f   acebook,,N/A,9802,0.0943,-4,6/12/2099
??,TOrOntO,   GlowSerum,SKINCARE,EMaiL,$9591.36,297088,??,0.1774,417644,
  Italy%,T0kyo?,PureClean Toner,furniture,Bill   board,$10537.71,-4511,??,0.3435,322105,08-04-2023xx
Deutschland!!,S√£o P   aulo,GlowSerum,SKINCARE,tiktok,15016.38 €,,??,,beaucoup,
,TOkYo ,hYDRACreAm,skincare,TIk TOK,20774.45 €,N/A,??,,412,Jul 22 2023
fRANcE,SãO pAulo,glowserum!!,SKINCARE,FaCEBOOk,23538.98 €,265446,43,"0,0158",877460,2023-05-01
france,TorONto,GlowSerum!!,Skincare,E-MAIl,budget non communique,N/A,,14.0%,0,Jan 17 2023
Fr@n   ce,__Paris,hyDRaCrEam,??,google ads,17 476.72,-1490,,0.2572,932865,2024-08-14
??,NEW YORK,GLOW SERUM,,tik tok,20642.27,-3290,12710,0.1163,0,25-03-2024xx
ITALY#,ParIs   ,Glow_   Serum,Skincare,tik_tok,18478.31 €,426302,2201047,"0,2981",-6,14/5/2099
italy,SAOPAU   LO,Hydra_Cream,Beauty ,e-mAil,24231.93 €,N/A,??,??,-38,Jun 6 2025
Usaa,T0kyo%,GlowSerum!!,Skincare,google ads$,,179176,13216,0.1311,749277,08-03-2024xx
italy@,Rome,GlowSerum!!,beauty,google ads   ,9259.0 €,N/A,10972,??,473401,
Brazil#,TOKYO,GlowSerum!   !,,i   nsta,,N/A,,??,344,2/11/2099
germany,TOKYO%,glowserum,skincare,facebook$,17631.94,N/A,,0.0736,-11,15/02/25
?   ?,Madrid,gl   owserum,,Billboar   d,760.08 €,-2013,16540,,361159,27-03-2023xx
Italie!!,unknown_city,HYDRA CREAM#,Beauty ,TikT   ok,23 359.34,-2426,9236,??,-46,
U.S.A,   Rome,hydracream,??,faceBOok,$22279.96,413784,3855397,??,-8,2023-07-04
italy,P@r!s,PUre_ClEAN_ToNeR,,facebook!!,1443.91,-1116,3380,0.2289,0,21-07-2024xx
Spain,P@r!s,GLOW SERUM   ,Skincare,Email,23320.62,-3478,??,0.0432,-26,21/5/2099
uSA,S√£O PaUlo,PUrEclEaN Toner,beauty,emaIL,$4394.67,-917,3799956,0.1049,149302,
Espa√±a,São_Paulo,HYDR   A CREAM,beauty,gOoglEADs,21949.73,432062,8391,0.1652,0,25/12/2099
Fr   @nce,###$,P.C. Toner,skincare,tiktok,,,2461823,,0,01/10/25
,NEW_YORK,Hydra_Cream,beauty,instaGraM,$7100.97,247667,,??,584,20/07/25
usa?,,GLOW_SERUM,,email   ,13 765.21,5361,??,15.1%,-48,
spain,R0m   e,PureClean Toner,,GoogleAds@,23748.62 €,,15936,"0,0999",0,2025-09-18
Fr@nce,T0   kyo,PureClean Toner,beauty,tik TOK,$3165.34,26632,4217,0.1966,beaucoup,
esPa√±A,,GlowSerum%,,instagra   m,14283.99 €,,12818,,0,
   germany,P@r!s,hyDRACREaM,beauty,Google   Ads,$9997.66,215188,4400085,"0,0128",284,2024-05-06
uNknown,PARIS      ,PURECLEAN TONER?,skincare,GOOgLE adS,7 524.08,,8558,"0,2766",483468,39/8/2099
Brazil,Paris,P.c. TOnER,furniture,billboard,24257.07,188815,,0.0421,172,2025-11-20
Fr@NcE,ToronTo,glowserum,skincare,   FB,budget non communique,483856,1246,16.7%,-36,23/1/2099
BRAZIL ,   Tokyo ,HydraCr3am,skincare,facebook,22 970.05,,,29.2%,beaucoup,03/04/25
Germany,New York,PureCleanToner,beauty,Billboard?,,-1127,1987094,??,0,10-10-2025xx
??   ,MADRI   D ,HydraCream,,insta,$3489.93,,??,"0,2853",beaucoup,21/8/2099
France,saopaulo,P.C._Toner,,TikTok%,15827.47,40238,19719,??,-41,Jan 18 2024
ITAly,s√£o paULo,PureCleanToner!!,skincare,google ads,$13226.54,N/A,4453,0.2438,597694,
Brazil,T0kyo,HYDRA CREAM,electronics,tiktok,budget non communique,334236,??,??,141,18/10/2099
Ja   ppan,  PaRIs,glowserum,Skincare,??,,-2879,13417,0.1602,-45,16/3/2099
JApan,ma   drid,HydraCream?,??,emAiL,budget non communique,-1920,14814,??,226688,10/4/2099
United States%,BERLiN,GlowSerum,,Instagram!!,,N/A,??,??,0,19/02/24
canada,####,HydraCr3am,skincare,Bill   board,2 253.27,72760,11551,"0,0885",0,2025-08-22
usa,paRIs,GlowSerum,Skincare,billboard,$2656.03,-4063,2403,??,0,Jun 14 2024
UNkNown,__Paris,Gl0wSerum#,SKINCARE,TikTok,9653.74 €,289526,,,964877,
Usaa!!,###,Hydra_Cream,Beauty ,Email,$21169.46,256030,,"0,0721",450573,
Germ   ny,Berlin@,glowserum%,Skincare,facebook,budget non communique,482065,15728,"0,0432",-46,42/5/2099
jAPaN,   Sao Paulo,gLOW SEruM,,Ti   kTok,,-945,3846313,,-47,
USA,Berlin,PURECLEA   N TONER,,GoogleAds,budget non communique,N/A,8961,0.0632,714,20-03-2024xx
Fr@nce#,S   ão Paulo,HydraCr3am,??,google ads@,,4097,,0.2152,321610,Oct 21 2025
USA,newyork,glowserum$,SKINCARE,??%,budget non communique,490529,4355061,,0,22/03/24
USA,,PURECLEAN TONER,SKINCARE,ins   tagram,$24195.01,264103,3255,0.2096,-14,Feb 22 2025
FRaNSe,,   Gl0wSerum,skincare,tiKTOK,18912.81,464082,16716,"0,3255",0,18/10/2099
Germny,Ber   lin,PureClean Toner,,google ads,6 546.25,,1942952,,beaucoup,42/12/2099
france%,paris,HYDRA CREAM$,,billboard,,108774,??,??,0,
United    States,P   ARIS   ,GLOW_SERUM,,GoogleAds,budget non communique,,,"0,211",-17,Oct 25 2025
canada,   berlin,Gl0wSe   rum,skincare,EmAIl,21553.44,193561,11341,,377780,2025-09-16
,,Hydra_Cream,Beauty ,faceboo   k,21 194.16,75482,186,29.1%,beaucoup,2025-04-14
unknown,S√£o Paulo,purEcLeAN TONER,SKINCARE,instagram,17127.21,N/A,6198,"0,0031",-27,
Itali   e,###,Gl0wSerum,beauty,,$1634.55,N/A,2200,"0,1189",beaucoup,Aug 14 2023
brazil,SAOPAULO$,Hydra_   Cream,beauty,bIllboARD,,,,0.1673,-27,44/6/2099
  Italy,UNKNoWn CiTy,HydraCream@,electronics,Instagra   m,10 100.29,,??,"0,2768",0,Dec 27 2025
  I   taly,MADRID_,PureC   leanToner,SKINCARE,E-MAil,,60611,14346,,beaucoup,19/15/2099
Germany%,   Madrid,PurecleAn TOnER,beauty,INSTAGRAM?,12755.98,-1050,6964,??,26,14/14/2099
jApPAN,TORONTO?,GlowSerum,Skincare,email,17562.71,,??,,-38,Feb 22 2023
Espana#,Madrid,Glow_Serum%,skincare,GoogleAds$,$8015.27,-4742,??,23.4%,-50,
,,P   .C. Toner,,??,13970.13 €,-3208,,32.5%,101,20/02/23
   ITALY,newyork,Hydra_Cream?,beauty,INSTAGRAM,22289.97,142682,??,,beaucoup,14/06/24
brazil!!,,HydraCream,skincare,Billboard@,2679.25 €,420244,??,"0,2178",beaucoup,41/13/2099
U.S.A,,Gl0wSerum,,FB,budget non communique,449016,??,0.1927,beaucoup,12-04-2025xx
It   alie,nEwyORK,Hydra_Cream,electronics,facebook?,budget non communique,52489,6473,"0,343",beaucoup,05-01-2025xx
N/A!!,TorONTO,hydracream,??,instagram,13476.88 €,N/A,??,,0,22-03-2023xx
Brazil,BERLIN,PURECLEAN TONER,beauty,TikTok,$7790.6,87397,8545,"0,3052",beaucoup,2024-08-18
Franse   ,pari   s,HYDRA CRE   AM,,billboard,20160.21 €,N/A,4982692,??,0,
France,paris,hydracream   ,beauty,fB,$10874.77,37535,??,,0,03/06/25
canada,rOMe,PURECLEAN TON   ER,,inst   a,,235536,??,0.2668,-2,08/11/24
Jappan,Roma,GlowSerum!!%,Skincare,Email!!,7146.52,N/A,12936,7.8%,-1,04/06/24
JAPAN,Tokyo%,hydracream#,beauty,email,budget non communique,489744,3726930,??,22,Dec 17 2024
  Italy,PARIS___,HydraCream,??,tik tok,budget non communique,-1736,??,0.0601,83,Mar 11 2024
Japan,sao_paulo,GLoW sERum,Skincare,go   ogle ads,1 291.32,N/A,??,"0,2885",490197,Feb 22 2023
japan,NEW_YORK,P.C. Tone   r,beauty,in   sta,$24095.74,-1408,3220463,"0,055",863431,
Brazil%,New   _York,HYDRA_CREAM,,email,18909.44,488561,18944,"0,1521",-18,2025-05-03
   BRAZIL ,Tokyo %,gL0WSerum,SKINCARE,GoogleAds,4155.2,,??,,beaucoup,2025-03-14
??,Madrid   ,gLOW SeRum,skincare,iNstaGrAm,,-1000,5858,16.3%,-34,May 9 2023
U.S.A,New_York,Pure_Clean_Toner%,SKINCARE,gOogLe Ads,21 687.25,477220,,0.1569,821080,15-08-2024xx
Espa√±a,N3w_Y0rk,PureCleanToner#,SKINCARE,GoogleAds?,,N/A,??,??,-1,18-09-2023xx
  ITAly,###,HYDRA CREAM@,??,i   nstagram,1497.84 €,N/A,1594529,0.3001,0,29/15/2099
__Italy,rome,GlowS   erum,beauty,in   stagram,budget non communique,-2520,6858,11.9%,-40,Oct 19 2023
usA,tOkYO,PURECLEAN TONER,skincare,Billboa   rd,budget non communique,N/A,1828737,"0,1226",-12,
cAnaDA,  Pa   ris,HYDrA CREaM,beauty,facebook,,23555,3475,"0,29",-45,Dec 12 2023
jap   an,Rome,PURECLEAN_TONER,SKINCARE,E-mail!!,2509.92,-4211,,"0,0845",-11,19/15/2099
??   ,paris,Hydra_Crea   m,electronics,TikTo   k,9 088.36,470180,5959,,beaucoup,Jun 14 2023
Kanada,Toronto   ,pureclean toner,skincare,insta,,-1809,??,14.4%,830829,May 24 2024
unknown,Sao_Paulo,GLOW_sErUm,SKINCARE,google ads,24775.54 €,374109,1182304,0.0359,beaucoup,
   France,Toronto#,PurEClEan toNEr,SKINCARE,tik tok#,10356.81,6336,,9.0%,beaucoup,Jan 8 2024
France?,P@R!s,HydraCrea   m,skincare,insta?,budget non communique,,17266,0.154,beaucoup,
N/a,berlin,Hydra_Cream!!,electronics,INStAGram,,,3217,17.6%,beaucoup,Nov 3 2025
france,New_York,pUre_cleAn_TOner,furniture,GoogleAds,24 543.17,-1650,3612,"0,0847",416,03/09/24
Japan,MAD   RID ,pureclean toner,SKINCARE,inSTAgRaM,,N/A,7815,"0,0524",-48,15-05-2025xx
UsA,  Paris!!,PureClean Toner@,SKINCARE,?   ?,$7072.19,-106,??,14.6%,0,21-12-2023xx
Kan   ada,N3w_Y0rk,HYDRA CRE   AM,electronics,FB   ,251.93,176237,9984,,-37,42/15/2099
Japan,Tokyo?,gl0wSeRUM,SKINCARE,Billboard$,,N/A,,0.2842,0,24-07-2025xx
Kanada,BER   LIN,GlowSerum,beauty,TikTok,13843.94 €,N/A,,"0,2092",72,6/1/2099
Brazil,Berlin,glowserum,skincare,FB,11 405.83,N/A,15628,,beaucoup,31/5/2099
Braz   il,   BERLIN,Hydra_Cr   eam,,instagram,$6629.27,412936,??,??,308942,Jan 25 2023
U.S.A,R0me#,Pure_Clean_Toner!!,,goOGLeaDs,budget non communique,,1024278,,181,24/2/2099
us   a,  Paris,hydracream!!,beauty,billboard@,,147457,??,22.1%,0,
Usa,MADRID ,P.C. TONER,,Email   ,11 511.85,N/A,7577,,721569,28/01/24
Deutschland%,São    Paulo,Pure_Clean_Toner$,SKINCARE,FB   ,budget non communique,352854,2629874,32.4%,beaucoup,23-08-2025xx
U.S.A$,PARIS   %,P.C.    Toner,SKINCARE,GoogleAds%,12224.5 €,122311,9986,??,beaucoup,2023-09-09
Fr@nce,New_York!!,Pure_Clean_Toner!!,skincare,??@,22683.53 €,,15344,??,459,Dec 4 2024
unknown,rom   e,HydraCr3am,??,Email,880.83 €,387466,,31.7%,beaucoup,15-08-2025xx
FRANCE,berlin#,hYdRa_creaM,,FB,15372.14 €,414693,2427,"0,0592",607656,Mar 20 2024
Japp   an,unknown city!!,PURECLEAN_TONER,beauty,B   illboard,20896.76,N/A,15171,"0,2828",-4,32/14/2099
Canada,rome,HYDRA CREAM,skincare,Ins   tagram,24927.95,,??,19.4%,0,27/03/25
KanaDa,tokyo,Hydra_Cream,beauty,FB,budget non communique,-2273,??,"0,2054",beaucoup,
,New_York#,HydraCr3am,??,??,budget non communique,142010,19470,"0,2624",589,43/4/2099
FRaNCE,Tokyo @,GLoWsErUM,electronics,instagram,5802.63,N/A,16199,17.5%,beaucoup,
N/A,tokyo,P.C._Toner,furniture,billboard,$22579.18,55772,??,??,0,
iTALIE,paris,GlowSerum#,,email   ,$4159.61,424811,971212,"0,0768",-18,43/5/2099
Italie#,New Yo   rk,pureclean_toner,SKINCARE,   FB,17542.91 €,N/A,10830,,0,2025-05-01
canada#,New York   ,HydraCr3am,??,gOOGlEADs,$16953.2,295779,4414,??,beaucoup,2024-05-11
__Italy,New York$,HydraCr3am,skincare,Email!!,$21585.02,93853,7260,??,-42,
canada%,PARIS___,glOWseruM!!,SKINCARE,tik tok   ,19880.9,360259,3276443,??,-30,23/10/23
Italie,R0me,HydraCream,electronics,TIk toK,,N/A,4946,0.0755,199,21/02/25
Spain   ,TOKYO%,p.C. tOner,furniture,FB,24280.89,-233,966223,0.1331,204967,24/1/2099
Italie,TOKyo ,hydracream,,tiktok,,-1765,,0.2929,160,
Franse,   SAOPAULO,hydracream,beauty,Instagram,,N/A,2349838,2.7%,606,24/8/2099
us   a,New_York,HydraCr3am@,electronics,Billboard@,18991.77 €,-3824,9684,11.5%,0,
Japan%,São_Paulo,HYDRA CREAM,beauty,eMAIL,,N/A,,"0,2776",542,28/2/2099
Jappan$,romA,Gl0wSeru   m,electronics,Email,$2151.85,-1833,1609,17.2%,89130,27/15/2099
spain,MADRID %,Pure_Clean_Toner,,GoogleAds$,19861.99,,??,12.3%,-39,23/03/23
usa,paris?,hydracream,beauty,iNstAgrAM,$2215.41,,16626,,741637,Jan 20 2023
Kanada,BErliN,   P.C. Toner,beauty,GoogleAds,$21329.82,N/A,??,??,-29,12-07-2025xx
France,R0me,pUreCleaN TOner,,??,7 115.08,-555,,"0,2954",-37,
Jap   an,PARIS___,P.C. Toner,skincare,tiktok   ,3533.7 €,N/A,367,,0,14-11-2025xx
JApAN,N3w_Y0rk,Gl0wSerum   ,beauty,INS   TAGRAM,15 868.86,-1766,,10.2%,beaucoup,11/06/23
Brasil,tokyo,hYDrAcREaM,beauty,,4 276.57,141699,3535179,"0,1309",506,16/7/2099
Ja   pan,,HydraCream,Beauty ,google ads$,192.95,-2223,19695,0.1645,0,12/03/24
Franse   ,TORONTO,P.C. Toner,beauty,BilLboARd,22099.75 €,440258,,,-35,Jan 26 2025
usa,rome$,pure_cLeAn_TONer,furniture,eMaIl,20917.09 €,N/A,??,0.2894,517,19/01/24
France$,TORonTo,Pure_Clean_Toner,furniture,facebook,6 310.63,N/A,,0.1658,beaucoup,2024-05-15
unknown!!,sAo paULo,Gl0wSerum,Skincare,   insta,,-4307,1360,13.1%,beaucoup,24/1/2099
Germany,São Paulo%,PURECLEAN_TONER,beauty,bil   lboard,budget non communique,96319,,"0,3351",-20,
K   anada,New York#,GLOW_SERUM,skincare,tik tok,budget non communique,N/A,??,"0,3338",beaucoup,Dec 21 2024
Japan,Tokyo,Gl0wSerum%,,tiktok,1356.39 €,N/A,,"0,165",-15,Mar 23 2023
   Usaa,São paulO,HYDRA_CREAM,electronics,Instagram,21090.51 €,358430,11667,??,283578,28/09/24
Deutschland,sao_pa   ulo,HydraCr3am,beauty,TikTok,4 101.13,20205,14709,0.1839,0,
brazil,,hYDRACR3Am,Beauty ,E-mail,$20743.03,173826,??,21.0%,746,2024-02-24
UsAa,T0kyo,GLOw_SERUM,Skincare,FB   ,19355.04,108984,18893,5.5%,87475,01/08/23
japAN,Sã   o Paulo,glowserum,electronics,iNsTaGrAM,10420.62 €,255800,,31.0%,0,3/3/2099
Kanada,Tokyo @,HyDrACrEAM,electronics,tiktok,,,16889,13.9%,-38,
ESPANa,BERLIN,HYdra_CREaM,Beauty ,insta#,,,,,beaucoup,8/2/2099
Spain@,Madrid!!,Glow_Serum,,E-m   ail,599.46 €,21510,2053463,,beaucoup,Jul 27 2024
BRAZIL ,N3w_Y0rk,Pure_Clean_Toner,,Billboard,4 331.40,N/A,??,,636,30/1/2099
?   ?,NEW YORK,glowserUm,beauty,Em   ail,2 034.20,,4686323,9.3%,beaucoup,2024-09-06
brazil,T0kyO,pUre_clEAn_ToNeR,beauty,tiktok,14982.47,,??,??,beaucoup,
BRAZIL ,New_York%,gLow_sErUM,beauty,   ??,,,,,beaucoup,2024-02-28
Japan,Tokyo,Glow_Serum,SKINCARE,facebook,20020.42,217856,,0.0052,0,28/07/23
JA   PAN,###,glowserum,Skincare,FB?,,85118,??,"0,0207",-29,2024-06-03
Germny,madrid,P.C. Toner,skincare,FB,16785.64 €,-2661,19169,??,142,38/7/2099
Kana   da,NEW YORK,PURECLEAN    TONER,skincare,billboard,,20177,14458,0.2824,-34,39/7/2099
canada,SAOPAULO%,HydraCr3am$,Beauty ,TikTok,,380102,3177443,0.3494,101,Jan 25 2023
FRAnSE,New_York,PuReCLEAn tONEr,SKINCARE,billboard,800.04 €,N/A,13579,??,beaucoup,Jun 23 2025
n/A,N3w_Y0rk,pureclean toner,skincare,billboard$,,-1330,7732,??,-39,
Espana,newyork#,Gl0   wSerum,beauty,insta,9465.56,345391,,??,beaucoup,05-02-2023xx
Kanada,SAOPAULO,puReCLEaN Toner,furniture,facebook,20229.12 €,N/A,12006,6.7%,0,2024-12-03
Japan,Paris,HydraCream,electronics,E-mail,9806.83,,,"0,1234",beaucoup,Mar 5 2023
BRAZIL $,pa   ris,GLOW SERUM@,electronics,Billboa   rd,23690.19,89875,,28.4%,678054,
Brazil,Madrid@,HydraCream,Beauty ,tiktok,7 148.59,-562,,0.3273,beaucoup,31/10/2099
Germany$,Sao Paulo#,GLOW SERUM,SKINCARE,,budget non communique,257537,3227584,??,811656,24/04/25
Germ   any,NEW YORK,HydRaCr3am,Beauty ,ins   tagram,10 385.49,356962,??,,0,May 17 2025
USA,toron   to,p.C. TONER,furniture,biLLBoArd,budget non communique,-1612,4345942,??,800,2023-06-20
Japan,R0me,Pu   reClean Toner,furniture,INSTAGRAM#,,,2501052,,0,11/01/23
   france,São Pau   lo,HYdRacrEaM,Beauty ,eMaIl,budget non communique,,6138,,-32,14/10/23
Ja   pan,SaO PAulo,HydraCream,,email,7 781.05,N/A,??,8.8%,59,Jun 9 2024
??,Sao Paulo?,Pur   eClean Toner,furniture,Tik Tok,14 544.28,,9865,"0,2034",beaucoup,2025-07-06
unknown,SAOPAULO,   Pure_Clean_Toner,beauty,facebook,$22144.83,,4883951,0.1031,-50,Jan 7 2023
italy#,unknown c   ity,Hydra_Cream,electronics,instagra   m,6 051.98,N/A,4355848,,422657,2024-10-26
  Ital   y,R0me   ,PURECLEAN TONER$,furniture,Billboard$,5826.26 €,,2896,"0,2275",-32,
germany,T0kyo,Pur   eClean Toner,skincare,tik to   k,15455.71,,,,432880,Aug 3 2025
,MADRI   D ,P.C. Toner,beauty,FB   ,$15114.08,-4183,1165261,,0,Jan 2 2023
Espa√±a,S√£o_Paulo,Pure   CleanToner,,facebook,22655.43,302174,,??,beaucoup,27/04/24
__Italy,UNknOwn CitY,   HydraCr3am,beauty,insTA,13863.86,-2776,15196,"0,0338",-44,01-12-2023xx
france,SÃo PaULO,gloWsEruM,electronics,billboard#,8 374.29,,12125,21.2%,422,18/6/2099
United State   s,to   kyo,HydraCream%,Beauty ,Billboa   rd,$7375.24,,??,??,602338,17-10-2023xx
Japan,New York,P.C. Toner%,,ti   ktok,,,3275902,0.2482,beaucoup,14-03-2023xx
canada?,,GlowSerum!!,skincare,google_ads,$2337.63,,19408,7.6%,0,
france!!,Paris,GlowSerum,beauty,eMaiL,$23971.02,N/A,1630803,??,779,14/10/2099
unkn   own,SAOPAULO#,Hydra_Cream,??,Ins   tagram,,229587,,??,0,06-12-2024xx
,,,,,,,,,,
BRAZIL !!,PARIS   %,Pure_Clean_Toner,beauty,E-mail,budget non communique,377261,??,??,beaucoup,2023-01-24
Espa√   ±a,  Paris,GlowSerum!!#,beauty,Email,3460.71,N/A,6134,,591910,2024-02-09
Franse,T0kyo@,PureCleanToner!!,beauty,??,,,16107,33.8%,207170,
italy,PARIS   ,HydraCr3am?,,TikTok,23040.3 €,,3466,0.2704,645094,2023-03-22
BRAZIL ,Roma$,HydraCREam,,INSTAGRAM,budget non communique,N/A,17480,5.0%,beaucoup,19/08/25
N/A?,__Paris,hyDRAcr3am,Beauty ,insta,2 317.66,,,4.2%,243,2025-07-12
gErmny,PARIS___,G   lowSerum,electronics,iNStAGrAm,budget non communique,46881,,0.282,0,42/12/2099
Spain,madrid,PuReClEAnToNEr,beauty,tiktok%,budget non communique,-2283,,,-42,2025-03-21
KANadA,torONto,hydRaCREAM,??,E-mail,budget non communique,,,33.4%,183048,2024-12-20
Deutschland,TOKYO,hYdRacr3AM,,instagram   ,$803.78,346391,1679541,,429,Apr 20 2024
unk   nown,Toky   o ,G   l0wSerum,Skincare,Instagram?,4873.29 €,350863,,0.338,-45,
United States#,Toronto,Glow_Serum,Skincare,GoogleAds,7 622.47,271375,9742,0.0726,763,11-09-2023xx
japan!!,Paris,HydraCr3am,,email%,,374089,,29.5%,0,23-08-2025xx
Canada,toronTo,pureclean toner,furniture,instagram,10290.36,480339,??,30.1%,beaucoup,20-08-2023xx
Espa√±a#,parIS,hydracream?,beauty,E   mail,,,,"0,2937",beaucoup,
CanADa,S√£O pAULO,glowserum@,beauty,Email,3700.81,-368,3720,26.2%,0,Dec 9 2023
fr@nCe,roME,   pureclean toner,beauty,?   ?,10262.66,256727,3081559,0.5%,0,Aug 24 2023
Spain,b3rLIn,glOWSeRUM!!,SKINCARE,e-maIL,,391536,??,,beaucoup,Jul 10 2023
Spain,B3rlin,hydracream%,??,tik_tok,21 782.58,,13135,??,88112,13/6/2099
??,madrid,GlowSerum@,electronics,Email,18601.56 €,N/A,1198010,??,201142,
Japan,Tokyo,pUreCLEaN Toner,beauty,Instagram   ,$7673.12,120174,4166,27.5%,-46,2024-02-14
BRAZIL ,SAOPAULO#,HYDRA_CREAM,skincare,tiktok,14504.93,315346,4426452,21.9%,-31,23-03-2023xx
,,,,,,,,,,
Fr@nce,TOKYO,glowserum,beauty,facebook,budget non communique,168416,14850,33.4%,922975,28/12/2099
Franse,r   ome,HydraCr3am,Beauty ,Billboard,6798.45 €,87315,3312977,0.1946,633692,
,Sao_Paulo,glowserum,electronics,tiktok!!,,353311,10384,,944045,Dec 5 2025
BR   AZIL ,s√£O paulO,glowserum$,,EmAIl,budget non communique,67860,11982,0.0686,-49,16/03/23
Italie,SAoPaULo,gl   owserum,SKINCARE,google ads%,16364.39 €,,16243,0.11,485,18-03-2025xx
Germny,Tokyo,pureclean_toner,SKINCARE,insta,5816.38,,7500,0.3106,beaucoup,2025-02-09
Brasil,newyork,Gl0wSerum$,SKINCARE,tik tok,budget non communique,377955,2272950,??,142387,2025-08-16
Usaa,New_York,   HydraCream,beauty,Email,,,2386,??,840253,28-05-2023xx
